1514 94 87 3
1514 94 91 2
64 95 91 3
737 96 96 3
64 96 91 4
66 96 98 1
66 96 99 1
1514 97 9 5
64 97 96 4
64 97 91 5
64 97 98 2
64 97 99 2
1484 98 5 11
1514 98 41 5
1514 98 27 6
1514 98 45 5
1514 98 49 5
1514 98 93 2
64 98 96 5
64 99 96 6
66 99 100 1
66 99 101 1
66 99 102 1
1484 100 61 11
1514 100 90 3
64 100 96 7
64 100 100 2
66 100 103 1
64 100 101 2
64 101 96 8
66 101 104 1
66 101 105 1
1263 102 35 12
317 102 99 3
66 102 106 1
66 102 107 1
64 102 104 2
64 102 105 2
1389 103 94 3
64 103 35 13
64 104 94 4
66 105 108 1
1484 106 37 6
1514 106 97 2
551 106 98 3
66 106 109 1
64 107 98 4
66 107 110 1
66 108 111 1
66 109 112 1
64 109 108 2
798 111 49 6
692 111 100 3
691 111 101 3
66 111 113 1
66 111 114 1
862 112 45 6
64 112 49 7
64 112 100 4
64 112 109 2
64 112 110 2
64 112 111 2
64 113 45 7
64 113 49 8
676 113 104 3
682 113 105 3
66 113 115 1
64 114 105 4
64 114 104 4
749 114 14 5
64 114 45 8
66 114 116 1
929 115 61 12
1085 115 5 12
64 115 105 5
64 115 104 5
66 115 117 1
66 115 118 1
66 115 119 1
66 115 120 1
66 115 121 1
66 116 122 1
66 116 123 1
64 116 118 2
64 116 119 2
64 116 120 2
66 117 124 1
66 117 125 1
66 117 126 1
66 117 127 1
66 117 128 1
64 117 121 2
64 117 122 2
64 117 123 2
1514 118 87 4
66 118 129 1
647 120 108 3
1514 121 9 6
1514 122 41 6
1156 122 35 14
1514 122 93 3
638 122 110 3
639 122 111 3
649 122 101 4
465 122 17 3
1514 122 27 7
64 123 35 15
1514 123 102 2
649 123 109 3
1446 123 103 2
648 123 100 5
64 123 95 3
1514 124 90 4
64 124 130 1
64 124 116 2
1514 126 107 2
1514 126 106 2
657 126 105 6
773 127 13 7
656 127 118 3
656 127 119 3
654 127 120 3
64 127 105 7
64 129 123 4
64 129 119 5
64 129 120 5
1070 129 112 2
1021 129 115 2
1015 129 114 2
654 128 121 3
655 128 122 3
656 128 123 3
1484 130 37 7
922 130 61 13
64 130 119 6
1514 130 97 3
64 130 121 5
64 130 122 5
64 131 119 7
111 132 61 14
635 132 101 5
64 132 119 8
64 133 119 9
642 134 100 6
64 134 119 10
66 134 131 1
681 135 116 3
64 135 119 11
64 135 117 2
1514 136 113 2
64 136 119 12
64 136 116 4
846 137 95 4
64 137 119 13
64 137 116 5
64 137 110 4
64 138 108 4
64 138 119 14
64 138 109 4
64 138 111 4
